Order,Original,文字数,Translation (English)
54,"尽管还没有被证实，但诸多消息源都表示，苹果2016年秋季发布会将在9月举行，iPhone7真要来了。
虽然苹果公司并未回应，但有关新iPhone的功能、配置已经陆续有消息放出，甚至网上连iPhone7“真机模型”图片都有了。
新一代iPhone可谓“万众瞩目”，火热、紧俏、有钱无货……如果你想第一时间购买到正品，一定要选择一个好渠道，比如说，苏宁。
这加剧了人们对于新手机的失望，“它加长了，却根本不能投射全息图像!这一代iPhone糟透了。”
iPhone7像其他iPhone一样，出生之前就伴随着无数秘闻。
另外，还有多个消息源声称，新一代iPhone将取消3.5mm耳机接口，转而使用蓝牙连接和充电接口，这将为苹果增加第二个扬声器提供空间。
能佐证这一消息的另一证据是，早在2014年苹果就允许耳机厂商生产通过充电接口连接的耳机产品。
这些消息或真或假，答案直到苹果2016秋季发布会才能揭晓。
但这并不妨碍业内人士看好iPhone7的前景——许多人认为，iPhone7将很有可能成为苹果对iPhone系列的最后一次大幅升级。
虽然从不久前市场研究机构IDC公布的数据来看，iPhone的市场份额有所下滑。
其中，高盛将苹果的股票维持“买入”评级，而BMO的分析师则认为iPhone7将收获一份历史性的销售成绩。
同时博通公司的CEO Hock Tan也表示，苹果未来的营收增加将有可能超过20%，而这完全得益于iPhone7的推出。
有7%的受访者表示他们有购买iPhone7的打算，而两年前计划购买iPhone6的人数比例只有4%。
据了解，目前持有iPhone6或6Plus的用户群体有20%计划购买iPhone7，这是一个相当高的比例。
其次，有专家分析，大部分果粉都喜欢隔代更换自己的iPhone手机。
据统计，在所有的iPhone用户中，有大约26%的用户已经2年没有更换手机了，也就是差不多有1.2亿的用户的iPhone已经用了2年。
有媒体称，iPhone7生产期间，台湾遭遇数次地震，“台积电生产设施的受破坏程度超出想象，并有可能对初期的iPhone7供应产生影响。”
供需矛盾会影响普通用户，是时候选择一个好渠道，第一时间低价入手正品iPhone7。
据知情人士透露，近期，苏宁高层与苹果公司频频见面，目的就是为了准备充足的货源。
运营商已经与苏宁谈妥，可以预见的是，随着双方的深度合作，必然会为用户带来更低的价格和更贴心的服务。
“最低的价格，消费者可能‘一天只需7元钱，就能购买iPhone7’。”
充足的货源与多样的优惠，让购买iPhone7不再“压力山大”，而苏宁的物流，更是会把这种美好变成更直观的体验感。
也许，你半夜就会接到电话，“您好，苏宁易购，您的iPhone7到了。”",1158,"It has not yet been confirmed yet, but many sources have indicated that Apple's 2016 fall conference will be held in September. The iPhone 7 is really going to come out.
Although Apple did not comment, information and specification of the new iPhone has been released and there are ""actual"" photos of the iPhone 7 on the web.
The new generation of the iPhone is going to be slick, popular, and limited, thus if you want to be one of the first one to get a hold of it, be sure to know where to buy it from...like Suning.
""This has led to further disappointment in the new phone. It is longer but can't even take videos. This generation of iPhone is terrible.""
Like the other iPhones, iPhone 7 had its share of secrets before being released.
In addition, there are multiple sources claiming that the new generation of iPhone will not feature a 3.5mm headphone jack and use Bluetooth connectivity instead and will just have the charging port. This will provide space for Apple to add a second speaker.
As evidence to backup this claim, Apple had developed earphones that would connect to the charging port back in 2014.
Regardless of whether the rumors are true or not, we will only know for sure when it is announced in Apple's fall 2016 conference.
However, this does not prevent the industry from looking at the potential specification of the iPhone 7 - many believe that the iPhone 7 will most likely be Apple's last major upgrade to the iPhone series.
IDC, which is a market research institute recently released data that the market share of iPhone has declined.
However, Goldman Sachs will maintain the ""buy"" rating for Apple's stock, and BMO analysts believe that iPhone7 will come together with a historic sales performance.
Additionally, Broadcom’s CEO Hock Tan also stated that Apple’s future revenue growth may exceed 20%, all thanks to the launch of the iPhone 7.
Seven percent of respondents said they had plans to purchase the iPhone 7, compared to only four percent who planned to purchase the iPhone 6 two years ago.
It is understood that 20% of those currently using the iPhone 6 or 6 Plus plan to purchase the iPhone 7, which is a very high percentage.
Also, experts analyzed that most of Apple consumers like to replace their iPhones every generation.
According to the data, about 26% of all iPhone users have not changed their phones for 2 years. Which means almost 120 million people have used the iPhone for 2 years.
Some media claimed that Taiwan faced several earthquakes during the production of iPhone 7 and, “The damage of TSMC's production facilities was bigger than expected and may affect the initial iPhone 7 supply.”
The disparity between supply and demand will affect the average customers. It is time to choose a good place to buy an authentic iPhone 7 early at a lower price.
According to informed sources, Suning executives met frequently with Apple in order to prepare enough stock.
The company is already in discussion with Suning, and will inevitable provide a lower price and better service for consumers through a high-level of cooperation between the two parties.
“At the lowest price, consumers may only need to pay 7 yuan a day to purchase the iPhone 7.”
Plentiful stock and various services will make purchasing the iPhone less stressful. Through Suning's logistics, will further lead to a heightened buying experience.
You may perhaps get a call in the middle of a night which will say ""Hi this is Suning.com. Your iPhone 7 is here."""
86,"近日，由中国文联、青海省政府主办的第十届中国国际民间艺术节在青海西宁拉开帷幕。
来自五大洲13个国家和地区的艺术团约300余名艺术家同聚一堂，为观众带来了极具国际性与民族民间特色的精彩演出。",95,"The 10th China International Folk Art Festival hosted by the China Federation of Literature and the Qinghai Provincial Government opened recently in Xining, Qinghai.
More than 300 artists from 13 countries and regions from five continents gathered to showcase international and ethnic folk performances to the audience."
42,"厦门姑娘张彬彬：“手型漂亮”开始射击之路职业生涯几经“逆转”
厦门翔安区东园村的张东红前几天刚把家中29寸的老电视，换成了65寸的大电视。
这位普通农民的女儿，就是11日晚为中国斩获里约奥运会女子50米步枪三姿决赛银牌的张彬彬。
11日夜，就在这部新电视前，张东红夫妇和几十位亲戚好友，一起见证了女儿一路奋起直追，从几乎预赛就被淘汰到差点大逆转的神奇过程。
在当日的比赛中，张彬彬一度排名中下游，似乎距离决赛十分遥远。
但父母和亲朋好友没有放弃，不停地刷着文字直播，看到随着其他选手完赛，张彬彬名次一路提升，最终锁定决赛席位，其家中顿时爆发从一阵欢呼。
决赛中，张彬彬又是在一度排名靠后的情况下，最后几枪越打越稳，仅以落后冠军0.2环成绩夺得银牌。
今年已经27岁的张彬彬，在16年的射击生涯中，其实有几度都差点与这块来之不易的银牌擦身而过。
其母张小龙告诉记者，就在他们犹豫时，张彬彬找来了同村的几个“小说客”。
这些“小说客”是当年同时被推荐参加集训的同村小孩，其中还有张彬彬的表姐。
就在进入厦门队后不久，张彬彬又一度因为家庭困难等原因，主动回到翔安的学校读书。
但是在其启蒙教练张亚杰反复做工作后，张彬彬又回到了厦门队。
而进入省队后，张彬彬又曾因为迟迟进不了国家队，一度因为看不到希望而再度回到家里。
这次，不仅张亚杰教练，厦门射击射箭运动中心和福建省队的领导和教练都来到家里，最终劝说张彬彬回到省队。
就如同昨天的比赛，这位厦门姑娘的用坚持实现了射击之路上的一个个逆转。
“每个教练挑选队员的方法不一样，当时我看到彬彬的手长得很漂亮，就一下子相中了。”
张东红也回忆，在集训测试中，女儿虽然成绩不是最好，但打出的环数很稳定，这也是张彬彬吸引教练的重要原因。
在训练张彬彬的过程中，张亚杰印象最深的，则是这位农家女孩的投入。
他回忆说，张彬彬进入厦门射击队一年后多，队里进行立射的持久举枪训练，要求队员半个小时不能动。
张小龙告诉记者，女儿一直是个安静乖巧的孩子，从小就喜欢画画和自制手工玩具，
“原来我会在家里做做衣服、缝缝补补，彬彬就会捡一些边角料自己做娃娃。”
她说，女儿常常会自己缝制手工玩具，加上她擅长画画，从娃娃的五官到衣饰，总能做得栩栩如生。
作为运动员，张彬彬和家人聚少离多，只有节假日才能回家，平时多靠电话联系。
父母说，无论是见面还是打电话，张彬彬很少说自己的辛苦，更多的是跟父母聊些开心的事。
平时见不到女儿，父母在家中将女儿小时候的画作以及历年的荣誉都细心收存着。
张小龙将女儿的动漫画作展示给记者，“如果没有当射击运动员，她应该还会继续画画”。
而在张彬彬家二楼客厅，有一个柜子内放满了她所获得的奖章、奖牌和证书。
张东红将奖牌和奖章整齐摆放，证书则统一放进了文件夹保存，“这些都是彬彬十几年心血换来的荣誉，我们都很珍惜。”",1180,"The Young Zhang Binbin from Xiamen: She started her shooting career as she had ""Beautiful Hands"" and went through various ""struggles"".
Zhang Donghong from Dongyuan Village in Xiang'an District of Xiamen just replaced an old 29-inch TV with a 65-inch TV at his home.
This average farmer's daughter is Zhang Binbin who won the silver medal in the 50 meter rifle three positions event at the Rio Olympic Games for China on the evening of the 11th.
Zhang Donghong and his wife along with a number of friends and family were in front of the new TV on the night of the 11th to witness their daughter make a miraculous comeback from almost being eliminated
In the day of the event, Zhang Binbin was at one point in the lower part of the ranking and did not seem she would reach the finals.
However her parents and close friends did not give up on her as they kept their eyes on the text of the broadcast. Upon seeing other players finishing and where they were ranked, they saw Binbin's name go up the rank and secured a seat in the finals, when the families and friends burst in cheers at home.
In the finals, she was on the bottom end of the ranking but her last few shots got more stable and won the silver medal with only 0.2 points behind the champion.
For Zhang Binbin who is already 27, it was a hard-fought silver medal in her 16 years of her shooting career.
Zhang's mother, Xiaolong told the reporters that when they felt hesitant about her doing this, Zhang Binbin brought a group of ""young kids"" from the same village to persuade her parents.
The ""young kids"" were from the same village who were also recommended to participate in the training at the same time. Among them was Zhang Binbin's cousin.
However, shortly after joining the Xiamen team, Zhang Binbin decided to go back to school in Xiang'an to study due to family hardships.
But after the coach Zhang Yajie, kept convincing her, she returned to the Xiamen team again.
After being in the provincial team, Zhang Binbin once again failed to get in the national team. As she could not see hope in getting in, she returned home once again.
This time, not only coach Zhang, but also the managers and coaches of the Xiamen Shooting and Archery Sports Center and the Fujian provincial team came to her home to persuade Zhang Binbin to return to the provincial team.
Like yesterday's game, she persisted and overcame the hurdles in her shooting career.
""The way a coach decides who makes the team is different. However for me, I knew she was it when I saw Zhang Binbin's hands.""
Zhang Donhong also remembered that during the test in the training, despite her scores not being the best, her points were very consistent which was the reason the coaches were fond of Zhang Binbin.
In the process of training Zhang Binbin, Zhang Yajie remembered clearly the input provided by this farm girl.
He recalls that around 1 year after Zhang Binbin joined the Xiamen Shooting team, the team had a endurance training exercise where they were not allowed to move for half an hour.
Zhang Xiaolong told the reporters that her daughter was always a quiet and obedient girl who liked to draw and play with homemade toys when she was small.
""When I would sew and repair clothes at home, Binbin would use the scrap pieces and make a doll herself.
She said that her daughter would often sew her own toys. As she also liked to draw, the facial expression and the clothes of the dolls she made looked really good.
As an athlete, Zhang Binbin saw her family less and less, and would only go back home during the holidays, and usually contacted each other by phone.
Her parents said that regardless of being together or on the phone, she would seldom talk about her hardship and would mostly talk about something happy with her parents.
As they aren't able to see their daughter often, they make sure to carefully keep the drawings she made when she was little at home.
Zhang Xiaolong showed a comic drawn by her daughter to the reporter and said ""if she didn't become a shooter, she would have probably continued drawing.""
In the living room on the second floor of Zhang Binbin's house, there is a cupboard full of medals, and certificates she has won.
Zhang Donghong arranged the medals neatly, and the certificates in a folder. “These are the result of Binbin's hard work in these 10 years and so, and are very precious to us."""
150,"自从2014年夏天决定重返骑士队以来，詹姆斯连续签了两份1+1的合同。
随着NBA现今这份劳资协议即将进入最后一年，作为NBA球员工会的副主席，詹姆斯将会身处劳资协议谈判的最前线。
鉴于联盟收入的大幅提升，这得感谢新的电视转播协议，以及老板和球员之间关于如何处理这笔钱的争斗，外界担心NBA将会在明年夏天陷入停摆。
但是对于詹姆斯来说，他在明年夏天不用担心自己会成为自由球员，因为他已经与骑士队续约了一份3年期合同。
无论2017-18赛季从什么时候正式开始，詹姆斯都是在合同之内的。",242,"LeBron James signed a 2 year contract since his decision to return to the Cavaliers in the summer of 2014.
With the NBA’s current collective bargaining agreement entering the final year, James who is the vice president of the National Basketball Players Association will be at the forefront of bargaining agreements.
With the raise in income from the union thanks to the new television broadcasting agreement, there will be negotiations between the owners and players on how the money will be distributed. Everyone else is worried that there may be a lockout next summer in the NBA.
But LeBron James will not have to worry about becoming a free agent next summer because he has already resigned a three-year contract with the Cavaliers.
James will already be in a contract regardless of when the 2017-2018 season officially begins."
104,"刘赐贵赴三亚调研“双修、双城”要求提升城市建管水平
12日上午，刘赐贵主持召开座谈会，听取了三亚市“双修”“双城”试点工作推进情况的汇报及各有关部门的意见建议。
刘赐贵对试点工作中取得的阶段性成果和创造出的好经验、好做法给予充分肯定。
刘赐贵强调，三亚要紧紧抓住历史发展机遇，以“双修”“双城”试点工作为重要抓手，在全省经济社会发展中充分发挥好示范带动的龙头作用。
要在提升国际旅游岛国际化水平中发挥好带头作用，从点滴细节入手，丰富国际元素、打造国际精品。
要在城乡一体化和全域旅游中发挥好带头作用，加快特色风情小镇建设，将旅游元素融入每个项目，把三亚的每个乡村、城镇都建设成旅游景区。
要在“服务社会投资百日大行动”中发挥好带头作用，推动一批重大项目和园区建设，确保高质量项目的落地，把大行动的各项要求落实好。
省委常委、三亚市委书记张琦，副省长王路，省政府秘书长陆志远参加调研座谈。",393,"Liu Cigui visits Sanya to research ""Double R’ (ecological restoration and city repair) city"" to request overall improvement of urban management.
On the morning of the 12th, Liu Cigui chaired a symposium to review reports on the progress of the pilot projects for ""Double R city"" in Sanya, and the opinions and suggestions of various relevant departments.
Liu Cigui was pleased with the results of phased approach in the pilot work and the good experience and practices.
Liu Cigui stressed that Sanya must seize the opportunity of this historical development and take the pilot work of ""Double R city"" as an important starting point. It shall play a leading role in demonstrating the province's economic and social development.
In order to become an international tourist island destination, it must take the initiative to review the details and provide international standards to become an internationally recognized brand.
We must play a leading role in integrating urban and rural areas with tourism in the entire region. We must speed up the development of towns and feature them tourist elements into each project. Develop each of the villages and towns in Sanya to be tourist destinations.
We must play a leading role in “The 100-day Action for social investment in the society”, to promote the construction of a number of major projects and parks, to ensure the closing of high-quality projects, and implement the requirements for major projects.
The Provincial Party Standing Committee, Party Secretary Zhang Qi of Sanya, Deputy Governor Wang Lu, and Secretary-general of the Provincial Government Lu Zhiyuan participated in the study."
98,"上海警方4个月擒贼3400余人打击“盗抢骗”团伙157个
在侦破案件的同时，警方还追缴赃款赃物合计人民币3300余万元。
据盗窃团伙成员供述，他们通过包乘黑车方式从外地进入上海，随后分别下车作案，数小时后各自会合上车，再一同离沪。
作案过程中犯罪嫌疑人往往以一幢楼为单位，采用外墙攀爬，撬断防盗窗栅栏的方式从上至下“扫楼式”盗窃。
日前，该涉案犯罪嫌疑人已被徐汇公安分局移送徐汇区检察院审查起诉。
警方提醒广大市民群众，外出时务必锁好家中门窗，对于防盗窗的选择，建议市民群众应当选择材质较硬的钢材。",249,"The Shanghai Police arrested more than 3,400 people in a span of 4 months and cracked down on 157 ""gangs"".
Throughout the cases, they've recovered more than 33 million yuan worth of stolen goods.
According to the confessions by the members of the criminal group, they entered the city a car fully tinted in black. They then got off the bus and committed the crime the gathered and left Shanghai together by car.
In the process of committing crimes, criminals used the building wall to climb and cut off the anti-theft window fences from top to bottom to enter the building and ""steal everything"".
Recently, the suspect involved in the case has been transferred to the Xuhui District Public Prosecutor's Office for review and prosecution by the Xuhui Public Security Bureau.
The police reminded the general public that when they go out, it is imperative to lock the doors and windows at home. When choosing anti-theft windows, it is recommended that the public should choose ones made of steel which is harder."
106,"很多NBA球员都证明了自己的实力。但是有人进步就有人衰落。
无论是因为年龄的增大还是出场时间被限制，每个赛季都有一些球员的表现会出现退步。
当然了，有些“退步”可能仅仅是数据的缩水，这些球员的实力可能并未下降。
即便韦德仍是联盟里最好的得分后卫之一，但是他在公牛的表现应该不会有热火那么好了。
他和隆多组成的后场射程有限，当家球星巴特勒的三分命中率也只有32.8%，这让他们下赛季的进攻会打得很拥挤。
来到了风城，闪电侠势必把球权更多地让给巴特勒和隆多，自己很可能在常规赛选择养生打法。
奥卡福的情况比较尴尬，作为上赛季76人的第一选择，他在新赛季不得不和西蒙斯以及恩比德竞争上场时间和球权。
这一竞争可能不会来的很快，西蒙斯还需要适应NBA赛场，恩比德也要尽快从伤病中完全恢复，但是奥卡福能否在76人的长人阵中有位置还是个问题。
上个赛季，奥卡福32%的得分来自低位进攻，这一比例高于考辛斯、武切维奇和布鲁克·洛佩斯，同时他的使用率也高居联盟前40。
随着西蒙斯已经展现了出色的控球前锋潜质，恩比德也拥有着更适合NBA比赛的身材，奥卡福的地位恐怕很难再那么稳固了。
过去两个赛季，汤普森的使用率已经稳定在了联盟前20，而这也是他生涯最出色的两个赛季。
不过问题是，随着杜兰特的到来，汤普森的使用率一定会下降，这势必将影响他的发挥。
这一影响将不仅是出手次数的影响，汤神的持球进攻在下赛季肯定也会大大减少，这在某些方面也会降低对手对他的防守难度。
杜兰特的到来一定会让勇士队的球员们数据缩水，但这其中缩水最严重的恐怕就是汤普森了。
但这并不意味着汤神的水平退步，这更像是他为球队整体做出了牺牲。
帕克在上个赛季表现得比数据反映的要好些，不仅是因为他的篮下效率来到了生涯最高，他和阿尔德里奇的化学反应也让马刺队受益。
邓肯退役，吉诺比利宣布再战一年，GDP的组合最终也走到了尽头，作为三个人里最年轻的一个，法国跑车的油箱里也没有多少油了。
在得到了第三枚总冠军戒指之后，只有贾巴尔、乔丹和拉塞尔比詹姆斯赢得了更多的常规赛MVP，而乔丹是唯一一个FMVP比詹姆斯多的人。
哦，对了，詹姆斯刚刚为克利夫兰带来了过去52年里第一座职业体育冠军奖杯。
来到了职业生涯第14个赛季的詹姆斯需要更好的保证体力，为季后赛做好准备。
因此，在常规赛里，詹姆斯的数据很可能进一步下滑，他会把更多的重担分给欧文来承担，不过他仍然会轻松地成为联盟前三的球员。",1017,"Many NBA players are able to prove their ability to play but there are people who fall off.
Whether it is due to age or limited playing time, there are always players who gets worse each season.
Of course those deemed to have ""gotten worse"" may just be due to the limited stats and data, and they may actually not have gotten worse.
Despite Dwayne Wade being one of the top shooting guards in the league, he will probably not perform as well with the Bulls than he did back with the Heat.
The backcourt range of Wade and Rondo is limited and Butler who is the star player only has a 32.8% 3-point percentage. This will make their offence limited in the next season.
In the windy city, the Flash (Wade) needs to give control of the ball more to Butler and Rondo, while he takes a more conservative approach and stay healthy.
Okafor's situation is more awkward. Despite being the number one draft for the 76ers last season, he has to compete with Simmons and Embiid for playing time and ball in the upcoming season.
Playing for the spot won't be right away as Simmons still needs to get used to the NBA games, and Embiid need to quickly recover from injuries. The issue remains if Okafor will be able to stay in the 76'ers roster in the long run.
Last season, Okafor' was scoring 32% from the low post, which is higher than Cousins, Vucevic, and Brook Lopez. He also has a usage rate of 40 in the league.
With Simmons already showing excellent potential as a forward, and Embiid having good potential for the NBA, it may be difficult for Okafor to find a stable role.
In the past two seasons, Thompson's usage rate has stabilized at the top 20 in the league, and his last two seasons has been the best in his career.
However, with Durant joining the team, the issues would be that Thompson's use rate will certainly decline, and is bound to affect his performance.
This will impact his shots taken and will surely reduce greatly next season and make the opponent defend him easier.
The arrival of Durant will limit the stats of the Warrior's players, and the player that would be the most affected would most likely be Thompson.
But this does not mean Thompson's playing ability will get worse. It is more a matter of fact that he will need to make some sacrifice for the team.
Parker performed better than the data reflected last season, not only because his efficiency was at the highest level of his career, but his chemistry with Aldridge also benefited the Spurs.
With Duncan retiring and Ginobili playing one last season, the era of Ginobili, Duncan and Parker will finally come to an end. As the youngest of the three, there is not much gas left in the tank for the French import.
After winning the third championship ring, only Jabbar, Jordan and Russell and James won more regular-season MVPs, and Jordan is the only person with more Finals MVP than James.
Oh and James has just brought home Cleveland's first professional sports championship cup in 52 years.
In LeBron's 14 season of his career, he will need to maintain his physical condition to prepare for the playoffs.
His stats will probably decline in the regular season as give the ball more to Osman. However, he will still easily be the top three players in the league."
66,"2016年扬子晚报利群阳光助学行动自5月26日启动，经过两个月的报名，申请助学金的贫困学子总人数达800多人。
助学过程中，已收到社会捐款超过120万元(已分五批公示)，至少可以帮助240位寒门学子圆梦大学。
目前，捐款仍在继续，本报吁请社会继续伸出援手，让更多家庭困难的孩子能够得到资助，得到社会的关怀。
为确保助学行动公正、公开、透明，本报今日起分批公示学子基本信息，今天公示第1—100名，接受读者监督。
利群阳光助学行动，是中国著名慈善品牌，扬子晚报利群阳光助学行动2003年起在江苏开展，资助贫困学子累计超过4000名。
该活动资助范围是高考本科录取新生,不含免学费专业；品学兼优，家庭贫困。",301,"The 2016 Yangzi Evening News Liqun Sun Student Aid Operation started on May 26. The total number of students from low-income families applying for financial aid was more than 800 after registration was open for two months.
In supporting students, over 1.2 million yuan in social donations (announced in 5 rounds) which can support at least 240 poor students get into their dream university.
Donations continue to increase. We urge the community to continue to provide assistance so that more families with hardship can receive funding and receive social care.
In order to ensure that the student education operations are fair, open, and transparent, this newspaper will publicize the basic information of students in batches from today, and publicize the 1st to 100th today so readers can review it.
The Liqun Sunshine Student Aid Program is a well-known charity program in China. The Yangzi Evening News Liqun Sun Student Aid Program was launched in Jiangsu in 2003 and has assisted more than 4,000 students from low-income families.
The funding for this program is aimed at supporting students with academic excellence from low-income family with undergraduate admission, and free tuition except for those with specialized scholarships."
88,"8月11日，记者电话采访已回到四川绵阳家中的黄伊琳时，她说：“当时情况太紧急了，我心里只有一个念头就是救人!”
黄伊琳是中南林科大风景园林学院2015级的学生。
就读城乡规划专业的黄伊琳想去四川阆中参观学习当地的建筑设计，于是一家人便前往旅游。
8月8日上午10点左右，黄伊琳的父亲在酒店休息，母女俩出来准备逛逛阆中古城。
刚走了没多远，突然看到一群人在大呼小叫，出于好奇便走上前去。
眼看着“小男孩已不见了踪影，小女孩在水里拼命扑腾，江面上只露出她的小脑袋，不时往下沉”，小时候学过游泳的黄伊琳急急忙忙地跳下去救人。
下水后，身高165厘米的黄伊琳发现竟踩不到底!
之前看上去平静的水面，底下却是激流!
但她还是不顾一切地游向小女孩。
黄伊琳说，江水浑浊、湍急，不到5米的距离，几乎花光了她所有的力气。
她拼尽全力把小女孩推到河堤边，“斜坡特别滑，我怕自己没有力气也沉下去了。”
于是，黄伊琳向妈妈求救，听到女儿的呼救，水性不好的尹女士准备下水营救，被旁边的游客拦住。
8月10日，黄伊琳跳江救人的事情传开后，尹女士在收到不少亲友慰问、称赞的同时，也受到不少亲友“问责”。
“现在回想起来真的很后怕!说实话，当孩子在河堤上快坚持不下去了，向我求救时，我的心都快碎了。”
尹女士心有余悸地说，尽管很危险，但如果再次置身那样的场景，她依然会支持女儿的选择，她为女儿骄傲!
由于是被逼的，黄伊琳在学会游泳之后就很少主动再下水了，“没想到这项技能还真派上了用场”。
据黄伊琳班上的班长陈亦暘介绍，黄伊琳是班里公认的“学霸”，而且乐于助人。",666,"On August 11th, when a reporter returned a call to Huang Yilin in Mianyang, Sichuan, she said “The situation was too dire at the time and the only thought I had in my mind was to save people!”.
Huang Yilin is a student from Central South University of Forestry and Technology for the class of 2015.
Huang Yilin, who was studying urban and rural planning, wanted to visit Sichuan Zhongzhong to learn about the local architectural design, thus travelled together with her family.
At around 10:00 on August 8, Huang Yilin’s father was resting at the hotel, while Huang Yilin and her mom went out to walk around Langzhong Ancient City.
Without venturing too far, they saw a group of people yelling and screaming thus went up to see what the commotion was about.
She saw that ""the boy was already out of sight and the girl was desperately trying to stay above water with only half her head visible as her head bobbled up and down in the river"". Huang Yilin had learned how to swim when she was young and jumped in quickly to save the child.
After diving in, Huang Yilin realized that despite being 165 cm tall, her feet could not touch the bottom of the river! 
Although the surface of the river seemed calm, the current was strong underneath! 
But she was still determined to swim toward the girl.
Huang Yilin said that the river was muddy and turbulent and she had to use almost all her strength to reach the girl who was less than 5 meters away.
She tried her best to push the little girl to the edge of the river bank. ""The slope was very slippery and I was afraid that I would use up my energy and sink.""
Huang Yilin called out to her mom for help. Her mom heard her cry for help and was about to go in the water and help. However as her mom was not in proper attire, she was stopped by a tourist beside her.
On August 10th, after Huang Yilin jumped in the river to save the child, her mom was bombarded with comments, compliments, and ""questions"" from friends and relatives.
""If you look back at it now, it was really scary! To be honest, when she could barely hold on to the riverbank and called to me for help, my heart almost shattered.""
Ms. Yin said that despite being dangerous, she would still support her daughter's decision if something like this happened again. She was very proud of her daughter! 
Because Huang Yilin was forced to learn swimming, she never really swam after learning how to swim but ""never thought it would come in handy in such a situation.""
According to the introduction of Huang Yilin's class leader Chen Yi-yang, Huang Yi-lin is recognized as an ""honor student"" and likes to help others."
52,"12日看点：田径开赛中国队很忙女足冲四自行车盼突破
自行车有望实现奥运金牌“零突破”，而女足姑娘将挑战两次世界冠军得主德国队，期待爆冷冲进四强。
王镇近两个赛季状态突出，去年北京田径世锦赛收获银牌，今年5月团体竞走世锦赛上又升级个人项目冠军。",121,"Points to watch on the 12th: Track and field has strarted and China's track and field team is off to a busy start. China's soccer team will aim for the semifinals. The cycling team will make a breakthrough.
The cycling team is expected to win a gold medal for their ""first time"". The women's soccer team will take on the two-time world champions, the German team. We look forward to them getting in the semi-finals.
Wang Zhen was dominant in the past two seasons. She won a silver medal in the Beijing World Track and Field Championships last year and also won an individual championship in May this year."
50,"据台湾媒体报道，台“行政院长”林全昨天上午宣布，“政党及其附随组织不当取得财产处理条例”自今天起生效。
国民党副主席詹启贤则表示，“一个一百多年历史的国民党，有社会的承诺跟责任，不会这样就倒闭”。
林全强调，如果政党、附随组织或受托管理人等违反条例所定禁止处分的规定，委员会将依职权调查并“依法”处分、裁罚。
林全也宣布不当党产委员会的副主委人选，将由台“廉政署副署长”洪培根担任。
他说，由顾立雄担任不当党产委员会主委是不二人选，借用洪培根过去查察相关重大案件的经验，将作为委员会清查相关不当党产案件的基础。
詹启贤认为，今天只要还有党产，没有人会给你社会捐款，若党产统统被充公收走，国民党刚好可请求社会支持与赞助，“今天真的没有了才有机会去要”。
詹启贤也强调，就算不当党产条例上路后，国民党党产没被完全充公、没收，剩下的仍会依承诺捐出去，让党产准归零，党要一切从零开始。",388,"The Taiwan media reported that the Taiwan's ""Premier"" Lin Chuan announced yesterday morning that ""the political party and its accompanying organization's improper acquisition of property management regulations"" took effect from today.
The vice chairman of the Kuomintang, Steve Chan, said ""The KMT with a history of more than one hundred years has social commitments and responsibilities and will not be defeated just like this.""
Lin Chuan emphasized that if a party, accompanying organization or trustee violates the provisions of the prohibition imposed by the regulations, the committee will investigate the case in accordance ""with the law"" and impose sanctions.
Lin Chuan also announced that in regards to the selection of the vice chairman for the Ill-gotten Party Assets Settlemen Committee, ""the Deputy Commissioner of the Independent Commission Against Corruption"", Hong Peigen will be a candidate.
He said that Wellington Koo was appointed as the chairman of the Ill-gotten Party Assets Settlemen Committee. Hong's experience in handling major cases in the past will serve as the basis for the committee to investigate relevant cases for the Ill-gotten Party Assets Settlemen Committee.
Zhan Qixian believes that as long as there are still party campaigns, no one will give you public donations. If the party’s campaigns were all confiscated, the Kuomintang can just request public support and sponsorship. ""You will only have the chance to go ask only when there is truly nothing left today"".
Zhan Qixian also emphasized that even if the Party’s campaign regulations were not properly implemented, the KMT’s campaign would  be completely taken away and confiscated, and the rest would be donated according to promises to allow the Party’s campaign to start from zero and work up from there."
24,记者在现场看到，一辆大型的货柜车车头在交警指挥下移靠在快车道上，货柜箱掉落在绿化道，路边被砸出一条2厘米深的坑。,56,Reporters saw at the site that a large container truck was moved to the HOV lane as directed by the traffic police. The container box however tipped off to the highway greenery and made a hole that was 2 cm deep. 
